WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
comfort,357,83,10.296576389576238,12.394351422798255
eyes,358,83,10.299373594197299,12.394351422798255
glad,359,82,10.290041635752532,12.394351422798255
gave,360,82,10.292823278714408,12.394351422798255
bad,361,82,10.295597205597135,12.394351422798255
longer,362,82,10.298363459090025,12.394351422798255
end,363,80,10.276429468938732,12.394351422798255
chapter,364,80,10.279180502310622,12.394351422798255
walked,365,80,10.281923988256374,12.394351422798255
degree,366,79,10.272081185868387,12.394351422798255
point,367,79,10.274809700521592,12.394351422798255
extremely,368,79,10.277530790635952,12.394351422798255
equal,369,78,10.26750547073012,12.394351422798255
afraid,370,78,10.270211832327862,12.394351422798255
minutes,371,78,10.272910889297027,12.394351422798255
because,372,78,10.275602680962738,12.394351422798255
mean,373,78,10.278287246333408,12.394351422798255
business,374,77,10.268061219268215,12.394351422798255
emma's,375,77,10.270731447824094,12.394351422798255
uppercross,376,77,10.273394565243578,12.394351422798255
full,377,76,10.262978527734342,12.394351422798255
beyond,378,76,10.265627535905919,12.394351422798255
themselves,379,75,10.255024318618737,12.394351422798255
went,380,75,10.257659366256743,12.394351422798255
brother,381,75,10.260287488663012,12.394351422798255
hand,382,75,10.262908722142885,12.394351422798255
talking,383,75,10.265523102716957,12.394351422798255
sorry,384,75,10.268130666124037,12.394351422798255
called,385,74,10.257308427491955,12.394351422798255
wished,386,74,10.259902462669,12.394351422798255
days,387,73,10.248884134178173,12.394351422798255
against,388,73,10.251464780771665,12.394351422798255
saying,389,73,10.254038784766838,12.394351422798255
afterwards,390,73,10.256606180272083,12.394351422798255
bear,391,73,10.259167001133758,12.394351422798255
kellynch,392,73,10.261721280938854,12.394351422798255
making,393,73,10.264269053017653,12.394351422798255
perry,394,72,10.25301702831399,12.394351422798255
sense,395,72,10.255551883917176,12.394351422798255
natural,396,72,10.258080330270536,12.394351422798255
imagine,397,72,10.260602399703245,12.394351422798255
attachment,398,72,10.263118124300494,12.394351422798255
usual,399,72,10.265627535905919,12.394351422798255
strong,400,72,10.268130666124037,12.394351422798255
dare,401,72,10.270627546322624,12.394351422798255
fine,402,71,10.259131965660336,12.394351422798255
doing,403,71,10.261616438987998,12.394351422798255
care,404,71,10.264094755002466,12.394351422798255
martin,405,71,10.266566944147854,12.394351422798255
head,406,71,10.269033036643048,12.394351422798255
spoke,407,71,10.271493062483911,12.394351422798255
ladies,408,70,10.25976241645352,12.394351422798255
words,409,70,10.262210398092162,12.394351422798255
received,410,70,10.264652401747712,12.394351422798255
exactly,411,70,10.267088456545594,12.394351422798255
rest,412,70,10.269518591398885,12.394351422798255
conversation,413,70,10.271942835010393,12.394351422798255
satisfied,414,70,10.274361215874674,12.394351422798255
determined,415,69,10.262385024827958,12.394351422798255
company,416,69,10.264791764858522,12.394351422798255
likely,417,69,10.267192726396061,12.394351422798255
appeared,418,69,10.269587937122015,12.394351422798255
married,419,69,10.271977424519397,12.394351422798255
used,420,69,10.274361215874674,12.394351422798255
means,421,69,10.27673933827964,12.394351422798255
regard,422,68,10.264513019212119,12.394351422798255
object,423,68,10.266879884222385,12.394351422798255
yourself,424,68,10.269241160408065,12.394351422798255
lyme,425,67,10.256781788315383,12.394351422798255
why,426,67,10.259131965660336,12.394351422798255
wonder,427,67,10.26147663261959,12.394351422798255
stay,428,67,10.263815814972762,12.394351422798255
early,429,67,10.266149538318983,12.394351422798255
particularly,430,66,10.253439950714034,12.394351422798255
believed,431,66,10.255762832130173,12.394351422798255
speaking,432,66,10.258080330270536,12.394351422798255
voice,433,66,10.260392470028915,12.394351422798255
benwick,434,66,10.262699276126831,12.394351422798255
took,435,66,10.26500077311511,12.394351422798255
henrietta,436,66,10.26729698537546,12.394351422798255
beginning,437,66,10.269587937122015,12.394351422798255
walking,438,66,10.271873652402872,12.394351422798255
pleased,439,65,10.25888668297081,12.394351422798255
met,440,65,10.261161996807944,12.394351422798255
use,441,65,10.263432145342483,12.394351422798255
different,442,65,10.265697151973335,12.394351422798255
giving,443,65,10.267957039940773,12.394351422798255
elton's,444,65,10.270211832327862,12.394351422798255
real,445,64,10.256957365525912,12.394351422798255
already,446,64,10.259202035379737,12.394351422798255
superior,447,64,10.26144167797324,12.394351422798255
air,448,64,10.263676315774656,12.394351422798255
asked,449,64,10.265905971101926,12.394351422798255
ill,450,64,10.268130666124037,12.394351422798255
returned,451,63,10.254602065894211,12.394351422798255
harville,452,63,10.256816906223763,12.394351422798255
cold,453,63,10.259026851874566,12.394351422798255
remember,454,63,10.261231924432881,12.394351422798255
need,455,62,10.247431803996042,12.394351422798255
nature,456,62,10.249627194559478,12.394351422798255
father's,457,62,10.251817775939296,12.394351422798255
call,458,62,10.254003569159277,12.394351422798255
read,459,62,10.256184595105637,12.394351422798255
men,460,62,10.258360874528233,12.394351422798255
added,461,61,10.24427190716996,12.394351422798255
colonel,462,61,10.24643875525505,12.394351422798255
directly,463,61,10.248600918259545,12.394351422798255
neither,464,61,10.250758416399567,12.394351422798255
door,465,61,10.252911269760668,12.394351422798255
reason,466,61,10.255059498298957,12.394351422798255
admiral,467,61,10.257203121842208,12.394351422798255
respect,468,61,10.259342160090958,12.394351422798255
fortune,469,61,10.26147663261959,12.394351422798255
settled,470,61,10.263606558877415,12.394351422798255
question,471,61,10.265731958189729,12.394351422798255
daughter,472,61,10.267852849758867,12.394351422798255
marriage,473,61,10.269969252665245,12.394351422798255
husband,474,60,10.255551883917176,12.394351422798255
new,475,60,10.257659366256743,12.394351422798255
whose,476,60,10.25976241645352,12.394351422798255
society,477,60,10.261861053110442,12.394351422798255
help,478,60,10.263955294713556,12.394351422798255
hoped,479,60,10.266045159633016,12.394351422798255
meeting,480,60,10.268130666124037,12.394351422798255
london,481,59,10.25340471401148,12.394351422798255
proper,482,59,10.255481557956319,12.394351422798255
consequence,483,59,10.257554097558293,12.394351422798255
dinner,484,59,10.259622350622351,12.394351422798255
acquainted,485,59,10.261686334843203,12.394351422798255
forward,486,59,10.263746067806213,12.394351422798255
aunt,487,59,10.265801566988308,12.394351422798255
taste,488,58,10.250758416399567,12.394351422798255
night,489,58,10.25280550002129,12.394351422798255
affection,490,58,10.254848401651092,12.394351422798255
farther,491,58,10.25688713834094,12.394351422798255
child,492,58,10.258921727038727,12.394351422798255
meant,493,58,10.26095218458911,12.394351422798255
got,494,57,10.245586785022473,12.394351422798255
sometimes,495,57,10.24760903040324,12.394351422798255
clay,496,57,10.249627194559478,12.394351422798255
expected,497,57,10.25164129393118,12.394351422798255
particular,498,57,10.253651344859204,12.394351422798255
open,499,56,10.237957786486668,12.394351422798255
meet,500,56,10.239959789157341,12.394351422798255
girl,501,56,10.241957791820013,12.394351422798255
allow,502,56,10.243951810426879,12.394351422798255
country,503,55,10.22792335533221,12.394351422798255
excellent,504,55,10.22990945330384,12.394351422798255
allowed,505,55,10.23189161450783,12.394351422798255
circumstances,506,55,10.233869854519936,12.394351422798255
smile,507,55,10.235844188823654,12.394351422798255
power,508,54,10.219465494142757,12.394351422798255
round,509,54,10.221432063114797,12.394351422798255
appearance,510,54,10.223394772282646,12.394351422798255
case,511,54,10.225353636767979,12.394351422798255
within,512,54,10.227308671603781,12.394351422798255
worth,513,54,10.229259891735044,12.394351422798255
year,514,54,10.23120731201944,12.394351422798255
handsome,515,53,10.214458814215858,12.394351422798255
engaged,516,53,10.216398679033684,12.394351422798255
son,517,53,10.21833478806055,12.394351422798255
engagement,518,53,10.220267155811605,12.394351422798255
week,519,53,10.22219579671801,12.394351422798255
health,520,53,10.224120725127595,12.394351422798255
entirely,521,53,10.226041955305488,12.394351422798255
pain,522,52,10.208911306464065,12.394351422798255
hours,523,52,10.21082518264635,12.394351422798255
sit,524,52,10.212735402902469,12.394351422798255
face,525,52,10.21464198117305,12.394351422798255
thank,526,52,10.216544931319138,12.394351422798255
circumstance,527,52,10.21844426712279,12.394351422798255
supposed,528,52,10.220340002287688,12.394351422798255
continued,529,52,10.222232150439726,12.394351422798255
isabella,530,52,10.224120725127595,12.394351422798255
ask,531,52,10.226005739823366,12.394351422798255
large,532,52,10.227887207923072,12.394351422798255
pleasant,533,51,10.21034705689017,12.394351422798255
impossible,534,51,10.21222147168452,12.394351422798255
bring,535,51,10.214092379620332,12.394351422798255
matter,536,51,10.215959793795127,12.394351422798255
seem,537,51,10.21782372723319,12.394351422798255
weston's,538,51,10.21968419288611,12.394351422798255
probably,539,51,10.221541203633324,12.394351422798255
sensible,540,51,10.223394772282646,12.394351422798255
truth,541,51,10.225244911570808,12.394351422798255
kindness,542,51,10.227091634163973,12.394351422798255
anne's,543,50,10.20913232536208,12.394351422798255
turned,544,50,10.210972252284089,12.394351422798255
common,545,50,10.21280880009139,12.394351422798255
anything,546,50,10.21464198117305,12.394351422798255
sat,547,50,10.216471807850127,12.394351422798255
ah,548,50,10.218298292376161,12.394351422798255
consider,549,50,10.220121446937677,12.394351422798255
gentleman,550,50,10.221941283654663,12.394351422798255
spoken,551,50,10.223757814581061,12.394351422798255
letters,552,49,10.205368344387722,12.394351422798255
serious,553,49,10.207178299632961,12.394351422798255
worse,554,49,10.20898498485791,12.394351422798255
taking,555,49,10.210788411857061,12.394351422798255
cole,556,49,10.21258859236121,12.394351422798255
fond,557,49,10.214385538037911,12.394351422798255
advantage,558,49,10.216179260491938,12.394351422798255
decided,559,49,10.217969771265725,12.394351422798255
perfect,560,49,10.219757081839822,12.394351422798255
necessary,561,49,10.221541203633324,12.394351422798255
anxious,562,48,10.202702860801582,12.394351422798255
small,563,48,10.204480639047581,12.394351422798255
none,564,48,10.20625526240595,12.394351422798255
comfortable,565,48,10.208026742054331,12.394351422798255
knowledge,566,48,10.209795089111074,12.394351422798255
delighted,567,48,10.211560314635642,12.394351422798255
eye,568,48,10.213322429629041,12.394351422798255
wrong,569,48,10.215081445034222,12.394351422798255
weather,570,48,10.216837371736487,12.394351422798255
thoughts,571,47,10.197536811366069,12.394351422798255
sitting,572,47,10.199286593089857,12.394351422798255
keep,573,47,10.201033318424798,12.394351422798255
meaning,574,47,10.202776998029625,12.394351422798255
five,575,47,10.204517642507408,12.394351422798255
sent,576,47,10.20625526240595,12.394351422798255
creature,577,47,10.207989868218158,12.394351422798255
hearing,578,47,10.209721470382435,12.394351422798255
sight,579,47,10.211450079283054,12.394351422798255
understanding,580,46,10.19166950002956,12.394351422798255
months,581,46,10.193392153341007,12.394351422798255
convinced,582,46,10.195111844220532,12.394351422798255
temper,583,46,10.196828582839588,12.394351422798255
second,584,46,10.198542379317322,12.394351422798255
appear,585,46,10.200253243720951,12.394351422798255
alone,586,45,10.179982279347332,12.394351422798255
croft,587,45,10.181687309598416,12.394351422798255
conduct,588,45,10.183389437668946,12.394351422798255
evil,589,45,10.185088673421907,12.394351422798255
match,590,45,10.186785026670085,12.394351422798255
delightful,591,45,10.188478507176418,12.394351422798255
turn,592,45,10.190169124654325,12.394351422798255
followed,593,44,10.169384032915987,12.394351422798255
donwell,594,44,10.171068953280907,12.394351422798255
past,595,44,10.172751039463892,12.394351422798255
warm,596,44,10.17443030098361,12.394351422798255
times,597,44,10.176106747310863,12.394351422798255
influence,598,44,10.177780387868893,12.394351422798255
lived,599,44,10.17945123203371,12.394351422798255
persuaded,600,44,10.181119289134408,12.394351422798255
considered,601,44,10.182784568453469,12.394351422798255
